101,1719950599.7337
102,1719950599.8377
103,1719950599.9419
104,1719950600.0453
105,1719950600.1485
106,1719950600.2519
107,1719950600.3552
108,1719950600.4585
109,1719950600.5618
110,1719950600.6650
111,1719950600.7681
112,1719950600.8718
113,1719950600.9755
114,1719950601.0793
115,1719950601.1826
116,1719950601.2859
117,1719950601.3892
118,1719950601.4924
119,1719950601.5957
120,1719950601.6989
121,1719950601.8022
122,1719950601.9054
123,1719950602.0085
124,1719950602.1118
125,1719950602.2156
126,1719950602.3188
127,1719950602.4221
128,1719950602.5254
129,1719950602.6291
130,1719950602.7330
131,1719950602.8362
132,1719950602.9395
133,1719950603.0428
134,1719950603.1461
135,1719950603.2494
136,1719950603.3532
137,1719950603.4565
138,1719950603.5601
139,1719950603.6634
140,1719950603.7667
141,1719950603.8699
142,1719950603.9732
143,1719950604.0764
144,1719950604.1797
145,1719950604.2840
146,1719950604.3879
147,1719950604.4916
148,1719950604.5949
149,1719950604.6982
150,1719950604.8014
151,1719950604.9047
152,1719950605.0079
153,1719950605.1111
154,1719950605.2144
155,1719950605.3177
156,1719950605.4210
157,1719950605.5246
158,1719950605.6283
159,1719950605.7292
160,1719950605.8324
161,1719950605.9366
162,1719950606.0398
163,1719950606.1429
164,1719950606.2462
165,1719950606.3495
166,1719950606.4527
167,1719950606.5560
168,1719950606.6593
169,1719950606.7633
170,1719950606.8666
171,1719950606.9697
172,1719950607.0730
173,1719950607.1766
174,1719950607.2799
175,1719950607.3832
176,1719950607.4865
177,1719950607.5898
178,1719950607.6933
179,1719950607.7965
180,1719950607.9003
181,1719950608.0036
182,1719950608.1068
183,1719950608.2101
184,1719950608.3134
185,1719950608.4166
186,1719950608.5198
187,1719950608.6234
188,1719950608.7268
189,1719950608.8301
190,1719950608.9334
191,1719950609.0371
192,1719950609.1404
193,1719950609.2436
194,1719950609.3468
195,1719950609.4501
196,1719950609.5534
197,1719950609.6567
198,1719950609.7599
199,1719950609.8632
200,1719950609.9664
